$$Component_Title,$$Component_Description,$$Component_Type,$$Rule_Id,$$Rule_Description,$Parameter_Id,$Parameter_Description,$Parameter_Value_Alternatives,$Parameter_Value_Default,$$Profile_Source,$$Profile_Description,$$Control_Id_List,Check_Id,Check_Description,$$Namespace
A human readable name for the component.,A description of the component including information about its function.,A category describing the purpose of the component. ALLOWED VALUES interconnection:software:hardware:service:physical:process-procedure:plan:guidance:standard:validation,A textual label that uniquely identifies a policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the policy (desired state) including information about its purpose and scope.,A textual label that uniquely identifies the parameter associated with that policy (desired state) or controls implemented by the policy (desired state).,A description of the parameter including the purpose and use of the parameter.,ONLY for the policy (desired state) parameters: A value or set of values the parameter can take. The catalog parameters values are defined in the catalog. ,"A value recommended by Compliance Team in this profile for the parameter of the control or policy (desired state). If a CIS-benchmark exists, the default default could be the CIS-benchmark recommended value.",A URL reference to the source catalog or profile for which this component is implementing controls for. A profile designates a selection and configuration of controls from one or more catalogs.,A description of the profile.,A list of textual labels that uniquely identify the controls or statements that the component implements.,A textual label that uniquely identifies a check of the policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the check of the policy (desired state) including the method (interview or examine or test) and procedure details.,"A namespace qualifying the property name. This allows different organizations to associate distinct semantics with the same name. Used in conjunction with ""class"" as the ontology concept. "
OCP4,OCP4,service,file_permissions_kube_apiserver,Ensure that the API server pod specification file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_kube_apiserver,Ensure that the API server pod specification file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_kube_apiserver,Ensure that the API server pod specification file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_kube_controller_manager,Ensure that the controller manager pod specification file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.3,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_kube_controller_manager,Ensure that the controller manager pod specification file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.4,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_kube_controller_manager,Ensure that the controller manager pod specification file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.4,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_scheduler,Ensure that the scheduler pod specification file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.5,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_kube_scheduler,Ensure that the scheduler pod specification file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_kube_scheduler,Ensure that the scheduler pod specification file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_etcd_member,Ensure that the etcd pod specification file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.7,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_etcd_member,Ensure that the etcd pod specification file ownership is set to root:root (Automated),,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.8,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
